,defteam,play_type,air_yards,yards_after_catch,interception,complete_pass,yards_allowed,passer_player_id,passer_player_name,receiver_player_id,receiver_player_name
108,BAL,pass,-3,13,0,1,10,00-0033873,P.Mahomes,00-0033526,S.Perine
109,BAL,pass,5,,0,0,0,00-0033873,P.Mahomes,,
110,BAL,pass,-1,,0,0,0,00-0033873,P.Mahomes,00-0033526,S.Perine
111,KC,pass,-4,,0,0,0,00-0034796,L.Jackson,00-0032764,D.Henry
112,KC,pass,12,3,0,1,15,00-0034796,L.Jackson,00-0036550,R.Bateman
113,KC,pass,19,30,0,1,49,00-0034796,L.Jackson,00-0037838,I.Likely
114,BAL,pass,5,3,0,1,8,00-0033873,P.Mahomes,00-0039067,R.Rice
115,BAL,pass,13,0,0,1,13,00-0033873,P.Mahomes,00-0036637,N.Gray
116,BAL,pass,21,14,0,1,35,00-0033873,P.Mahomes,00-0039894,X.Worthy
117,KC,pass,-3,7,0,1,4,00-0034796,L.Jackson,00-0037838,I.Likely
118,KC,pass,31,,0,0,0,00-0034796,L.Jackson,00-0036550,R.Bateman
119,KC,pass,6,0,0,1,6,00-0034796,L.Jackson,00-0031549,N.Agholor
120,KC,pass,3,0,0,1,3,00-0034796,L.Jackson,00-0034753,M.Andrews
121,KC,pass,0,,0,0,0,00-0034796,L.Jackson,,
122,BAL,pass,-3,13,0,1,10,00-0033873,P.Mahomes,00-0037197,I.Pacheco
123,BAL,pass,-1,3,0,1,2,00-0033873,P.Mahomes,00-0033873,P.Mahomes
124,KC,pass,5,3,0,1,8,00-0034796,L.Jackson,00-0037838,I.Likely
125,KC,pass,40,,0,0,0,00-0034796,L.Jackson,00-0036550,R.Bateman
126,KC,pass,3,5,0,1,8,00-0034796,L.Jackson,00-0037838,I.Likely
127,KC,pass,0,7,0,1,7,00-0034796,L.Jackson,00-0034975,J.Hill
128,KC,pass,1,3,0,1,4,00-0034796,L.Jackson,00-0037838,I.Likely
129,KC,pass,36,2,0,1,38,00-0034796,L.Jackson,00-0036550,R.Bateman
130,KC,pass,10,,0,0,0,00-0034796,L.Jackson,00-0037838,I.Likely
131,KC,pass,10,,0,0,0,00-0034796,L.Jackson,00-0039064,Z.Flowers
132,KC,pass,10,,0,0,0,00-0034796,L.Jackson,00-0037838,I.Likely
133,CAR,pass,0,1,0,1,1,00-0031280,D.Carr,00-0034981,F.Moreau
134,CAR,pass,-4,9,0,1,5,00-0031280,D.Carr,00-0033906,A.Kamara
135,CAR,pass,44,15,0,1,59,00-0031280,D.Carr,00-0037545,R.Shaheed
136,NO,pass,20,,1,0,0,00-0039150,B.Young,00-0035216,Dio.Johnson
137,CAR,pass,35,,0,0,0,00-0031280,D.Carr,00-0037545,R.Shaheed
138,NO,pass,22,,0,0,0,00-0039150,B.Young,00-0035216,Dio.Johnson
139,CAR,pass,17,0,0,1,17,00-0031280,D.Carr,00-0037239,C.Olave
140,CAR,pass,20,,0,0,0,00-0031280,D.Carr,00-0036040,J.Johnson
141,CAR,pass,22,,0,0,0,00-0031280,D.Carr,00-0033357,T.Hill
142,CAR,pass,3,0,0,1,3,00-0031280,D.Carr,00-0034981,F.Moreau
143,NO,pass,2,,0,0,0,00-0039150,B.Young,00-0039062,J.Mingo
144,NO,pass,11,3,0,1,14,00-0039150,B.Young,00-0030035,A.Thielen
145,NO,pass,-3,7,0,1,4,00-0039150,B.Young,00-0039356,J.Sanders
146,NO,pass,,,0,0,0,00-0039150,B.Young,,
147,CAR,pass,0,1,0,1,1,00-0031280,D.Carr,00-0033357,T.Hill
148,CAR,pass,,,0,0,0,00-0031280,D.Carr,,
149,CAR,pass,1,0,0,1,1,00-0031280,D.Carr,00-0037545,R.Shaheed
150,CAR,pass,5,1,0,1,6,00-0031280,D.Carr,00-0039623,M.Tipton
151,CAR,pass,15,2,0,1,17,00-0031280,D.Carr,00-0034981,F.Moreau
