"","full_name","gsis_id"
"383","Will Dissly","00-0034159"
"384","Michael Dickson","00-0034160"
"385","Daniel Carlson","00-0034161"
"386","J.K. Scott","00-0034162"
"387","Jake Martin","00-0034163"
"388","Eddy Pineiro","00-0034173"
"389","Tim Boyle","00-0034177"
"390","Trent Sieg","00-0034198"
"391","Darious Williams","00-0034203"
"392","Mike Boone","00-0034208"
"393","Dakoda Shepley","00-0034229"
"394","Poona Ford","00-0034234"
"395","Elijah Campbell","00-0034248"
"396","Daniel Ekuale","00-0034251"
"397","Austin Corbett","00-0034261"
"398","Tarvarius Moore","00-0034263"
"399","Jalyn Holmes","00-0034264"
"400","Anthony Averett","00-0034265"
"401","Tyler Conklin","00-0034270"
"402","Marquez Valdes-Scantling","00-0034272"
"403","Parry Nickerson","00-0034274"
"404","Folorunso Fatukasi","00-0034275"
"405","DeShon Elliott","00-0034277"
"406","Tremon Smith","00-0034278"
"407","Bradley Bozeman","00-0034281"
"408","Zach Sieler","00-0034285"
"409","Ben Niemann","00-0034296"
"410","Frankie Luvu","00-0034302"
"411","Keith Kirkwood","00-0034317"
"412","Kentavius Street","00-0034320"
"413","Daron Payne","00-0034333"
"414","Greg Stroman","00-0034337"
"415","Quenton Nelson","00-0034342"
"416","Marcus Davenport","00-0034344"
"417","Frank Ragnow","00-0034345"
"418","Will Hernandez","00-0034346"
"419","James Daniels","00-0034347"
"420","Courtland Sutton","00-0034348"
"421","Uchenna Nwosu","00-0034350"
"422","Dallas Goedert","00-0034351"
"423","Anthony Miller","00-0034353"
"424","M.J. Stewart","00-0034355"
"425","Donte Jackson","00-0034356"
"426","Isaiah Oliver","00-0034357"
"427","Tyquan Lewis","00-0034359"
"428","Lorenzo Carter","00-0034360"
"429","Justin Reid","00-0034361"
"430","Jordan Akins","00-0034364"
"431","Ian Thomas","00-0034365"
"432","Josey Jewell","00-0034368"
"433","Da'Shawn Hand","00-0034371"
"434","Dorance Armstrong","00-0034373"
"435","Jordan Whitehead","00-0034374"
"436","Kyzir White","00-0034375"
"437","Taron Johnson","00-0034376"
"438","Avonte Maddox","00-0034377"
"439","Josh Sweat","00-0034381"
"440","Dalton Schultz","00-0034383"
"441","D.J. Reed","00-0034384"
"442","Ja'Whaun Bentley","00-0034385"
"443","Justin Watson","00-0034386"
"444","Bilal Nichols","00-0034387"
"445","Siran Neal","00-0034391"
"446","Tim Settle","00-0034397"
"447","Wyatt Teller","00-0034399"
"448","Mike White","00-0034401"
"449","Ray-Ray McCloud","00-0034407"
"450","Russell Gage","00-0034411"
"451","Foyesade Oluokun","00-0034413"
"452","Matt Pryor","00-0034417"
"453","Cedrick Wilson","00-0034418"
"454","Braxton Berrios","00-0034419"
"455","Matthew Adams","00-0034424"
"456","Jordan Mailata","00-0034429"
"457","Zaire Franklin","00-0034431"
"458","Will Clapp","00-0034436"
"459","Logan Cooke","00-0034437"
"460","Logan Woodside","00-0034438"
"461","Jalen Davis","00-0034446"
"462","Greg Joseph","00-0034450"
"463","Jeremy Reaves","00-0034465"
"464","Dennis Gardeck","00-0034473"
"465","Jonathan Owens","00-0034485"
"466","Trent Sherfield","00-0034487"
"467","Tavierre Thomas","00-0034488"
"468","Ezekiel Turner","00-0034490"
