"","kicker_player_name","kicker_player_id","yardline_100","result"
"382","C.Boswell","00-0031136",18,1
"383","M.Wright","00-0035189",7,1
"384","M.Wright","00-0035189",23,1
"385","M.Wright","00-0035189",17,1
"386","J.Myers","00-0031492",2,1
"387","C.McLaughlin","00-0035358",8,1
"388","B.Grupe","00-0038905",24,1
"389","B.Grupe","00-0038905",11,1
"390","A.Seibert","00-0035145",24,1
"391","J.Tucker","00-0029597",27,1
"392","A.Seibert","00-0035145",34,0
"393","A.Seibert","00-0035145",37,1
"394","J.Tucker","00-0029597",13,1
"395","J.Tucker","00-0029597",21,1
"396","A.Seibert","00-0035145",30,1
"397","C.McLaughlin","00-0035358",5,1
"398","J.Tucker","00-0029597",10,1
"399","J.Tucker","00-0029597",34,1
"400","C.McLaughlin","00-0035358",37,0
"401","A.Seibert","00-0035145",5,1
"402","A.Seibert","00-0035145",31,1
"403","A.Seibert","00-0035145",13,1
"404","A.Seibert","00-0035145",11,1
"405","D.Hopkins","00-0030098",31,0
"406","E.McPherson","00-0036854",32,0
"407","W.Lutz","00-0032569",28,1
"408","W.Lutz","00-0032569",13,1
"409","B.Grupe","00-0038905",17,1
"410","W.Lutz","00-0032569",34,1
"411","W.Lutz","00-0032569",20,1
"412","W.Reichard","00-0039404",39,1
"413","W.Reichard","00-0039404",24,1
"414","W.Reichard","00-0039404",30,1
"415","J.Bates","00-0039172",26,1
"416","K.Fairbairn","00-0032726",5,1
"417","K.Fairbairn","00-0032726",34,1
"418","K.Fairbairn","00-0032726",17,1
"419","B.McManus","00-0029822",26,1
"420","A.Carlson","00-0038402",37,1
"421","A.Carlson","00-0038402",6,1
"422","C.Dicker","00-0037224",41,1
"423","C.Dicker","00-0037224",32,1
"424","C.Dicker","00-0037224",10,1
"425","C.Dicker","00-0037224",29,1
"426","C.Dicker","00-0037224",22,1
"427","C.Ryland","00-0038567",14,1
"428","D.Carlson","00-0034161",20,1
"429","D.Carlson","00-0034161",29,1
"430","D.Carlson","00-0034161",20,1
"431","D.Carlson","00-0034161",9,1
"432","J.Karty","00-0039750",16,0
"433","D.Carlson","00-0034161",9,1
"434","J.Sanders","00-0034794",15,1
"435","M.Gay","00-0035269",34,1
"436","M.Gay","00-0035269",4,1
"437","J.Sanders","00-0034794",36,0
"438","M.Gay","00-0035269",20,1
"439","J.Slye","00-0035192",22,1
"440","C.Little","00-0039409",3,1
"441","C.Boswell","00-0031136",28,1
"442","C.Boswell","00-0031136",11,1
"443","C.Boswell","00-0031136",3,1
"444","G.Zuerlein","00-0029621",17,0
"445","G.Joseph","00-0034450",20,1
"446","J.Myers","00-0031492",20,1
"447","Y.Koo","00-0033702",36,0
"448","J.Myers","00-0031492",40,1
"449","N.Folk","00-0025565",7,1
"450","T.Bass","00-0036162",10,1
"451","T.Bass","00-0036162",12,1
"452","J.Sanders","00-0034794",35,1
"453","J.Sanders","00-0034794",7,1
"454","C.Ryland","00-0038567",38,1
"455","C.Ryland","00-0038567",16,1
"456","C.McLaughlin","00-0035358",34,1
"457","Y.Koo","00-0033702",21,1
"458","Y.Koo","00-0033702",28,0
"459","D.Hopkins","00-0030098",9,1
"460","J.Tucker","00-0029597",31,1
"461","D.Hopkins","00-0030098",15,1
"462","J.Tucker","00-0029597",32,0
"463","D.Hopkins","00-0030098",30,1
"464","J.Myers","00-0031492",20,1
"465","T.Bass","00-0036162",8,1
"466","A.Seibert","00-0035145",8,1
"467","A.Seibert","00-0035145",12,1
"468","A.Seibert","00-0035145",9,1
"469","A.Seibert","00-0035145",29,1
"470","A.Seibert","00-0035145",33,0
"471","A.Carlson","00-0038402",32,1
"472","B.Aubrey","00-0037692",11,1
"473","A.Carlson","00-0038402",26,1
"474","A.Carlson","00-0038402",22,1
"475","B.McManus","00-0029822",13,1
"476","B.McManus","00-0029822",19,1
"477","C.Little","00-0039409",21,1
"478","C.Little","00-0039409",29,1
"479","B.McManus","00-0029822",6,1
"480","K.Fairbairn","00-0032726",16,1
"481","M.Gay","00-0035269",28,1
"482","K.Fairbairn","00-0032726",16,1
"483","M.Gay","00-0035269",18,1
"484","K.Fairbairn","00-0032726",16,1
"485","D.Carlson","00-0034161",36,1
"486","H.Butker","00-0033303",24,1
"487","D.Carlson","00-0034161",14,1
"488","H.Butker","00-0033303",5,1
"489","W.Reichard","00-0039404",5,1
"490","W.Reichard","00-0039404",17,1
"491","C.Dicker","00-0037224",28,1
"492","B.Grupe","00-0038905",22,1
"493","B.Grupe","00-0038905",25,1
"494","C.Dicker","00-0037224",11,1
"495","B.Grupe","00-0038905",26,0
"496","C.Boswell","00-0031136",13,1
"497","G.Joseph","00-0034450",11,1
"498","C.Boswell","00-0031136",7,1
"499","G.Joseph","00-0034450",21,1
"500","C.Boswell","00-0031136",9,1
"501","G.Joseph","00-0034450",26,1
"502","C.Boswell","00-0031136",9,1
"503","G.Joseph","00-0034450",30,1
"504","G.Zuerlein","00-0029621",11,1
"505","G.Zuerlein","00-0029621",26,0
"506","J.Slye","00-0035192",5,1
"507","J.Elliott","00-0033787",21,1
"508","E.McPherson","00-0036854",9,1
"509","E.McPherson","00-0036854",36,0
"510","J.Elliott","00-0033787",31,1
"511","J.Elliott","00-0033787",30,1
"512","J.Bates","00-0039172",33,1
"513","C.Santos","00-0031203",11,1
"514","C.Santos","00-0031203",35,1
"515","C.Santos","00-0031203",35,1
"516","C.Ryland","00-0038567",11,1
"517","C.Ryland","00-0038567",37,1
"518","B.Aubrey","00-0037692",16,1
"519","B.Aubrey","00-0037692",39,1
"520","J.Tucker","00-0029597",15,1
"521","W.Lutz","00-0032569",19,1
"522","J.Tucker","00-0029597",19,1
"523","B.McManus","00-0029822",12,1
"524","B.McManus","00-0029822",28,0
"525","J.Bates","00-0039172",9,1
"526","B.McManus","00-0029822",20,1
"527","K.Fairbairn","00-0032726",38,0
"528","K.Fairbairn","00-0032726",36,1
"529","K.Fairbairn","00-0032726",9,0
"530","K.Fairbairn","00-0032726",11,1
"531","W.Reichard","00-0039404",35,0
"532","M.Gay","00-0035269",35,0
"533","W.Reichard","00-0039404",13,0
"534","M.Gay","00-0035269",23,1
"535","M.Gay","00-0035269",36,1
"536","J.Elliott","00-0033787",25,1
"537","J.Elliott","00-0033787",39,0
"538","D.Hopkins","00-0030098",20,1
"539","C.Dicker","00-0037224",26,0
"540","D.Hopkins","00-0030098",33,0
"541","J.Karty","00-0039750",20,1
"542","J.Karty","00-0039750",3,1
"543","E.McPherson","00-0036854",26,1
"544","D.Carlson","00-0034161",28,1
"545","E.McPherson","00-0036854",9,1
"546","T.Bass","00-0036162",22,1
"547","J.Sanders","00-0034794",21,1
"548","T.Bass","00-0036162",31,1
"549","J.Sanders","00-0034794",5,1
"550","T.Bass","00-0036162",43,1
"551","J.Slye","00-0035192",38,0
"552","J.Slye","00-0035192",34,1
"553","N.Folk","00-0025565",3,1
"554","N.Folk","00-0025565",6,1
"555","B.Grupe","00-0038905",11,1
"556","B.Grupe","00-0038905",15,1
"557","E.Pineiro","00-0034173",30,1
"558","B.Grupe","00-0038905",33,1
"559","H.Butker","00-0033303",22,1
"560","C.McLaughlin","00-0035358",29,1
"561","J.McAtamney","00-0039934",13,1
"562","A.Seibert","00-0035145",13,1
"563","A.Seibert","00-0035145",2,1
"564","B.Grupe","00-0038905",20,1
"565","Y.Koo","00-0033702",35,0
"566","Y.Koo","00-0033702",16,0
"567","Y.Koo","00-0033702",8,1
"568","B.Grupe","00-0038905",8,1
"569","Y.Koo","00-0033702",28,0
"570","T.Bass","00-0036162",11,1
"571","M.Gay","00-0035269",9,1
"572","M.Gay","00-0035269",5,1
"573","T.Bass","00-0036162",29,1
"574","T.Bass","00-0036162",10,1
"575","H.Butker","00-0033303",18,1
"576","W.Lutz","00-0032569",42,0
"577","H.Butker","00-0033303",10,1
"578","H.Butker","00-0033303",2,1
"579","W.Lutz","00-0032569",17,0
"580","K.Fairbairn","00-0032726",16,1
"581","K.Fairbairn","00-0032726",38,1
"582","K.Fairbairn","00-0032726",11,1
"583","J.Bates","00-0039172",40,1
"584","K.Fairbairn","00-0032726",40,0
"585","J.Bates","00-0039172",34,1
"586","J.Sanders","00-0034794",32,1
"587","J.Karty","00-0039750",16,1
"588","J.Karty","00-0039750",37,1
"589","J.Karty","00-0039750",39,0
"590","J.Karty","00-0039750",35,1
"591","J.Sanders","00-0034794",19,1
"592","J.Karty","00-0039750",4,1
"593","J.Sanders","00-0034794",31,1
"594","J.Karty","00-0039750",12,1
"595","J.Romo","00-0037542",27,1
"596","J.Romo","00-0037542",14,1
"597","J.Romo","00-0037542",16,1
"598","J.Romo","00-0037542",11,1
"599","J.Slye","00-0035192",12,1
"600","C.Santos","00-0031203",15,1
"601","J.Slye","00-0035192",19,1
"602","J.Slye","00-0035192",7,1
"603","J.Slye","00-0035192",15,1
"604","E.Pineiro","00-0034173",35,1
"605","G.Gano","00-0026858",25,0
"606","G.Gano","00-0026858",24,1
"607","E.Pineiro","00-0034173",18,1
"608","S.Shrader","00-0039576",7,1
"609","S.Shrader","00-0039576",27,1
"610","C.Ryland","00-0038567",19,1
"611","B.Aubrey","00-0037692",28,1
"612","B.Aubrey","00-0037692",5,1
"613","J.Elliott","00-0033787",21,1
"614","J.Elliott","00-0033787",20,1
"615","Z.Gonzalez","00-0033862",30,1
"616","Z.Gonzalez","00-0033862",23,1
"617","J.Moody","00-0038562",10,1
"618","C.McLaughlin","00-0035358",12,1
"619","J.Moody","00-0038562",31,0
"620","J.Moody","00-0038562",15,1
"621","J.Moody","00-0038562",32,0
"622","J.Moody","00-0038562",26,0
"623","C.McLaughlin","00-0035358",8,1
"624","J.Moody","00-0038562",26,1
"625","C.Dicker","00-0037224",2,1
"626","C.Dicker","00-0037224",19,1
"627","N.Folk","00-0025565",31,0
"628","N.Folk","00-0025565",8,1
"629","Y.Koo","00-0033702",22,1
"630","Y.Koo","00-0033702",32,1
"631","W.Lutz","00-0032569",27,1
"632","C.Boswell","00-0031136",14,1
"633","J.Tucker","00-0029597",29,0
"634","J.Tucker","00-0029597",32,0
"635","C.Boswell","00-0031136",34,1
"636","C.Boswell","00-0031136",14,1
"637","C.Boswell","00-0031136",39,1
"638","J.Tucker","00-0029597",36,1
"639","C.Boswell","00-0031136",9,1
"640","C.Boswell","00-0031136",32,1
"641","E.McPherson","00-0036854",8,1
"642","E.McPherson","00-0036854",9,1
"643","C.Dicker","00-0037224",1,1
"644","C.Dicker","00-0037224",35,1
"645","E.McPherson","00-0036854",30,0
"646","E.McPherson","00-0036854",33,0
"647","D.Hopkins","00-0030098",33,0
"648","D.Hopkins","00-0030098",9,0
"649","C.Santos","00-0031203",35,1
"650","C.Santos","00-0031203",9,1
"651","C.Santos","00-0031203",28,0
"652","K.Fairbairn","00-0032726",15,1
"653","B.Aubrey","00-0037692",35,1
"654","B.Aubrey","00-0037692",22,0
"655","K.Fairbairn","00-0032726",10,1
"656","M.Gay","00-0035269",23,1
"657","M.Gay","00-0035269",29,1
"658","M.Gay","00-0035269",38,1
"659","A.Carlson","00-0038402",40,1
"660","A.Carlson","00-0038402",17,1
"661","C.Little","00-0039409",40,1
"662","C.Little","00-0039409",17,1
"663","J.Bates","00-0039172",36,1
"664","T.Bass","00-0036162",15,1
"665","J.Slye","00-0035192",13,1
"666","J.Karty","00-0039750",8,0
"667","J.Slye","00-0035192",7,1
"668","J.Slye","00-0035192",23,1
"669","D.Carlson","00-0034161",9,1
"670","J.Sanders","00-0034794",13,1
"671","D.Carlson","00-0034161",4,1
"672","J.Sanders","00-0034794",28,1
"673","N.Folk","00-0025565",11,1
"674","J.Romo","00-0037542",22,1
"675","N.Folk","00-0025565",25,1
"676","J.Myers","00-0031492",34,1
"677","J.Myers","00-0031492",38,1
"678","J.Moody","00-0038562",15,1
"679","J.Elliott","00-0033787",26,0
"680","J.Elliott","00-0033787",33,0
"681","J.Elliott","00-0033787",3,1
"682","Z.Gonzalez","00-0033862",27,1
"683","J.Elliott","00-0033787",13,1
"684","C.Ryland","00-0038567",17,1
"685","C.Ryland","00-0038567",4,1
"686","J.Myers","00-0031492",32,1
"687","C.Ryland","00-0038567",29,0
"688","C.Dicker","00-0037224",24,1
"689","C.Dicker","00-0037224",34,1
"690","J.Tucker","00-0029597",27,1
"691","C.Dicker","00-0037224",34,1
