"","receiver_player_name","receiver_player_id","passer_player_name","passer_player_id","complete_pass","air_yards","yards_after_catch","yards_gained_pass","defteam","interception"
"4848","M.Alie-Cox","00-0033217","J.Flacco","00-0026158",1,10,9,19,"JAX",0
"4849","J.Downs","00-0038997","J.Flacco","00-0026158",1,19,1,20,"JAX",0
"4850","A.Mitchell","00-0039890","J.Flacco","00-0026158",1,4,5,9,"JAX",0
"4851","T.Sermon","00-0036984","J.Flacco","00-0026158",1,-1,4,3,"JAX",0
"4852","J.Downs","00-0038997","J.Flacco","00-0026158",1,7,3,10,"JAX",0
"4853","M.Pittman","00-0036252","J.Flacco","00-0026158",1,1,0,1,"JAX",0
"4854","G.Davis","00-0036196","T.Lawrence","00-0036971",1,4,3,7,"IND",0
"4855","T.Etienne","00-0036973","T.Lawrence","00-0036971",1,2,11,13,"IND",0
"4856","T.Etienne","00-0036973","T.Lawrence","00-0036971",1,-4,16,12,"IND",0
"4857","B.Strange","00-0038935","T.Lawrence","00-0036971",1,4,0,4,"IND",0
"4858","B.Thomas","00-0039893","T.Lawrence","00-0036971",0,6,NA,0,"IND",0
"4859","A.Mitchell","00-0039890","J.Flacco","00-0026158",1,17,1,18,"JAX",0
"4860","J.Downs","00-0038997","J.Flacco","00-0026158",1,2,1,3,"JAX",0
"4861","M.Pittman","00-0036252","J.Flacco","00-0026158",0,11,NA,0,"JAX",0
"4862","A.Mitchell","00-0039890","J.Flacco","00-0026158",1,1,0,1,"JAX",0
"4863","T.Etienne","00-0036973","T.Lawrence","00-0036971",1,4,10,14,"IND",0
"4864","B.Strange","00-0038935","T.Lawrence","00-0036971",1,4,0,4,"IND",0
"4865","B.Thomas","00-0039893","T.Lawrence","00-0036971",1,-3,11,8,"IND",0
"4866","T.Bigsby","00-0038555","T.Lawrence","00-0036971",1,-3,31,28,"IND",0
"4867","C.Kirk","00-0034775","T.Lawrence","00-0036971",1,6,2,8,"IND",0
"4868","L.Farrell","00-0036887","T.Lawrence","00-0036971",1,5,1,6,"IND",0
"4869","T.Sermon","00-0036984","J.Flacco","00-0026158",1,-2,5,3,"JAX",0
"4870","J.Downs","00-0038997","J.Flacco","00-0026158",0,1,NA,0,"JAX",0
"4871","T.Sermon","00-0036984","J.Flacco","00-0026158",1,-2,8,6,"JAX",0
"4872","B.Thomas","00-0039893","T.Lawrence","00-0036971",1,28,57,85,"IND",0
"4873","W.Mallory","00-0038394","J.Flacco","00-0026158",1,7,0,7,"JAX",0
"4874","J.Downs","00-0038997","J.Flacco","00-0026158",1,2,0,2,"JAX",0
"4875","T.Goodson","00-0037120","J.Flacco","00-0026158",1,1,4,5,"JAX",0
"4876",NA,NA,"J.Flacco","00-0026158",0,NA,NA,-4,"JAX",0
"4877","T.Goodson","00-0037120","A.Mitchell","00-0039890",1,-6,30,24,"JAX",0
"4878","T.Sermon","00-0036984","J.Flacco","00-0026158",1,-7,7,0,"JAX",0
"4879","A.Mitchell","00-0039890","J.Flacco","00-0026158",0,12,NA,0,"JAX",0
"4880","T.Etienne","00-0036973","T.Lawrence","00-0036971",1,-5,9,4,"IND",0
"4881","T.Etienne","00-0036973","T.Lawrence","00-0036971",0,5,NA,0,"IND",0
"4882","B.Strange","00-0038935","T.Lawrence","00-0036971",1,3,9,12,"IND",0
"4883","D.Johnson","00-0035628","T.Lawrence","00-0036971",0,2,NA,0,"IND",0
"4884","T.Etienne","00-0036973","T.Lawrence","00-0036971",1,-4,3,-1,"IND",0
"4885","G.Davis","00-0036196","T.Lawrence","00-0036971",1,18,3,21,"IND",0
"4886","J.Downs","00-0038997","J.Flacco","00-0026158",1,4,8,12,"JAX",0
"4887","M.Pittman","00-0036252","J.Flacco","00-0026158",0,14,NA,0,"JAX",0
"4888",NA,NA,"J.Flacco","00-0026158",0,NA,NA,-11,"JAX",0
"4889","B.Thomas","00-0039893","T.Lawrence","00-0036971",1,13,0,13,"IND",0
"4890","B.Thomas","00-0039893","T.Lawrence","00-0036971",1,4,0,4,"IND",0
"4891","A.Mitchell","00-0039890","J.Flacco","00-0026158",0,4,NA,0,"JAX",0
"4892","M.Pittman","00-0036252","J.Flacco","00-0026158",1,3,-1,2,"JAX",0
"4893","B.Thomas","00-0039893","T.Lawrence","00-0036971",1,12,0,12,"IND",0
"4894","B.Thomas","00-0039893","T.Lawrence","00-0036971",0,39,NA,0,"IND",1
"4895","T.Goodson","00-0037120","J.Flacco","00-0026158",1,1,1,2,"JAX",0
"4896","J.Downs","00-0038997","J.Flacco","00-0026158",0,5,NA,0,"JAX",0
"4897","M.Pittman","00-0036252","J.Flacco","00-0026158",1,0,5,5,"JAX",0
"4898","T.Sermon","00-0036984","J.Flacco","00-0026158",1,1,7,8,"JAX",0
"4899","A.Mitchell","00-0039890","J.Flacco","00-0026158",0,21,NA,0,"JAX",0
"4900","A.Mitchell","00-0039890","J.Flacco","00-0026158",1,7,3,10,"JAX",0
"4901","M.Pittman","00-0036252","J.Flacco","00-0026158",1,-1,3,2,"JAX",0
"4902","J.Downs","00-0038997","J.Flacco","00-0026158",1,4,0,4,"JAX",0
"4903","J.Downs","00-0038997","J.Flacco","00-0026158",1,6,0,6,"JAX",0
"4904","T.Sermon","00-0036984","J.Flacco","00-0026158",1,0,5,5,"JAX",0
"4905","M.Alie-Cox","00-0033217","J.Flacco","00-0026158",0,3,NA,0,"JAX",0
"4906","M.Pittman","00-0036252","J.Flacco","00-0026158",0,6,NA,0,"JAX",0
"4907","M.Alie-Cox","00-0033217","J.Flacco","00-0026158",1,18,0,18,"JAX",0
"4908","T.Etienne","00-0036973","T.Lawrence","00-0036971",1,-5,6,1,"IND",0
"4909","C.Kirk","00-0034775","T.Lawrence","00-0036971",1,42,19,61,"IND",0
"4910","G.Davis","00-0036196","T.Lawrence","00-0036971",1,8,2,10,"IND",0
"4911","J.Deguara","00-0036332","T.Lawrence","00-0036971",1,-2,4,2,"IND",0
"4912","B.Strange","00-0038935","T.Lawrence","00-0036971",1,4,0,4,"IND",0
"4913","M.Pittman","00-0036252","J.Flacco","00-0026158",1,15,12,27,"JAX",0
"4914",NA,NA,"J.Flacco","00-0026158",0,NA,NA,-3,"JAX",0
"4915","A.Ogletree","00-0037292","J.Flacco","00-0026158",1,5,0,5,"JAX",0
"4916","J.Downs","00-0038997","J.Flacco","00-0026158",1,-1,0,-1,"JAX",0
"4917","M.Alie-Cox","00-0033217","J.Flacco","00-0026158",0,19,NA,0,"JAX",0
"4918","C.Kirk","00-0034775","T.Lawrence","00-0036971",1,5,0,5,"IND",0
"4919","A.Pierce","00-0037664","J.Flacco","00-0026158",1,24,0,24,"JAX",0
"4920","A.Pierce","00-0037664","J.Flacco","00-0026158",1,43,2,45,"JAX",0
"4921","D.Johnson","00-0035628","T.Lawrence","00-0036971",1,-6,6,0,"IND",0
"4922","B.Thomas","00-0039893","T.Lawrence","00-0036971",0,10,NA,0,"IND",0
"4923","G.Davis","00-0036196","T.Lawrence","00-0036971",0,13,NA,0,"IND",0
"4924","A.Pierce","00-0037664","J.Flacco","00-0026158",1,31,34,65,"JAX",0
"4925","D.Johnson","00-0035628","T.Lawrence","00-0036971",1,0,9,9,"IND",0
"4926","L.Farrell","00-0036887","T.Lawrence","00-0036971",1,6,5,11,"IND",0
"4927","C.Kirk","00-0034775","T.Lawrence","00-0036971",1,10,4,14,"IND",0
"4928","J.Downs","00-0038997","J.Flacco","00-0026158",0,21,NA,0,"JAX",0
"4929",NA,NA,"J.Flacco","00-0026158",0,NA,NA,-17,"JAX",0
"4930","B.Bowers","00-0039338","G.Minshew","00-0035289",1,-3,6,3,"DEN",0
"4931","B.Bowers","00-0039338","G.Minshew","00-0035289",1,22,35,57,"DEN",0
"4932","M.Burton","00-0031595","B.Nix","00-0039732",1,5,0,5,"LV",0
"4933","J.Williams","00-0036997","B.Nix","00-0039732",0,-4,NA,0,"LV",0
