"","rusher_player_name","pos_team","yards_gained"
"11795","J.Conner","ARI",40
"11796","M.Carter","ARI",6
"11797","C.Hubbard","CAR",3
"11798","B.Young","CAR",34
"11799","C.Hubbard","CAR",3
"11800","B.Young","CAR",23
"11801","J.Conner","ARI",3
"11802","J.Conner","ARI",5
"11803","K.Murray","ARI",0
"11804","M.Boone","CAR",1
"11805","J.Conner","ARI",6
"11806","C.Hubbard","CAR",5
"11807","J.Conner","ARI",7
"11808","J.Conner","ARI",6
"11809","J.Conner","ARI",10
"11810","J.Conner","ARI",6
"11811","J.Conner","ARI",17
"11812","J.Conner","ARI",6
"11813","C.Hubbard","CAR",12
"11814","C.Hubbard","CAR",3
"11815","C.Hubbard","CAR",5
"11816","C.Hubbard","CAR",6
"11817","J.Conner","ARI",2
"11818","K.Murray","ARI",3
"11819","J.Conner","ARI",3
"11820","J.Conner","ARI",1
"11821","C.Hubbard","CAR",12
"11822","C.Hubbard","CAR",9
"11823","C.Hubbard","CAR",3
"11824","C.Hubbard","CAR",0
"11825","B.Young","CAR",7
"11826","M.Carter","ARI",3
"11827","R.Blackshear","CAR",5
"11828","R.Blackshear","CAR",3
"11829","R.Blackshear","CAR",5
"11830","G.Dortch","ARI",8
"11831","K.Murray","ARI",4
"11832","K.Murray","ARI",20
"11833","M.Carter","ARI",0
"11834","C.Hubbard","CAR",0
"11835","C.Hubbard","CAR",3
"11836","C.Hubbard","CAR",4
"11837","K.Murray","ARI",9
"11838","K.Murray","ARI",5
"11839","C.Hubbard","CAR",7
"11840","K.Murray","ARI",8
"11841","M.Carter","ARI",4
"11842","M.Carter","ARI",5
"11843","C.Hubbard","CAR",28
"11844","C.Hubbard","CAR",21
"11845","J.Ford","CLE",66
"11846","J.Ford","CLE",1
"11847","D.Thompson-Robinson","CLE",8
"11848","D.Foreman","CLE",1
"11849","D.Foreman","CLE",0
"11850","C.Brown","CIN",3
"11851","J.Chase","CIN",7
"11852","C.Brown","CIN",21
"11853","C.Brown","CIN",22
"11854","D.Thompson-Robinson","CLE",-6
"11855","C.Brown","CIN",3
"11856","C.Brown","CIN",-2
"11857","P.Strong","CLE",6
"11858","C.Brown","CIN",1
"11859","J.Ford","CLE",2
"11860","C.Brown","CIN",5
"11861","C.Brown","CIN",4
"11862","D.Thompson-Robinson","CLE",12
"11863","D.Thompson-Robinson","CLE",-8
"11864","D.Thompson-Robinson","CLE",4
"11865","C.Brown","CIN",3
"11866","C.Brown","CIN",5
"11867","J.Burrow","CIN",16
"11868","C.Brown","CIN",-1
"11869","J.Burrow","CIN",3
"11870","C.Brown","CIN",3
"11871","J.Ford","CLE",1
"11872","D.Thompson-Robinson","CLE",5
"11873","J.Ford","CLE",3
"11874","J.Ford","CLE",4
"11875","P.Strong","CLE",0
"11876","J.Ford","CLE",-3
"11877","D.Thompson-Robinson","CLE",14
"11878","J.Ford","CLE",7
"11879","J.Ford","CLE",4
"11880","D.Thompson-Robinson","CLE",6
"11881","D.Thompson-Robinson","CLE",14
"11882","C.Brown","CIN",5
"11883","J.Ford","CLE",5
"11884","J.Ford","CLE",2
"11885","C.Brown","CIN",9
"11886","C.Brown","CIN",4
"11887","C.Brown","CIN",2
"11888","C.Brown","CIN",0
"11889","C.Brown","CIN",4
"11890","G.Edwards","LAC",4
"11891","D.Davis","LAC",-3
"11892","A.Estime","DEN",6
"11893","J.Williams","DEN",6
"11894","M.Mims","DEN",3
"11895","J.Williams","DEN",15
"11896","A.Estime","DEN",3
"11897","B.Watson","DEN",7
"11898","A.Estime","DEN",3
"11899","G.Edwards","LAC",6
"11900","K.Vidal","LAC",19
"11901","G.Edwards","LAC",2
"11902","G.Edwards","LAC",2
"11903","G.Edwards","LAC",1
"11904","B.Nix","DEN",10
"11905","A.Estime","DEN",9
"11906","B.Watson","DEN",2
"11907","A.Estime","DEN",9
"11908","K.Vidal","LAC",3
"11909","J.Herbert","LAC",2
"11910","G.Edwards","LAC",3
"11911","G.Edwards","LAC",-2
"11912","G.Edwards","LAC",2
"11913","B.Nix","DEN",15
"11914","J.Herbert","LAC",2
"11915","J.Williams","DEN",1
"11916","A.Estime","DEN",7
"11917","B.Watson","DEN",2
"11918","B.Nix","DEN",0
"11919","A.Estime","DEN",-1
"11920","J.Herbert","LAC",18
"11921","K.Vidal","LAC",2
"11922","K.Vidal","LAC",0
"11923","J.Herbert","LAC",7
"11924","G.Edwards","LAC",5
"11925","J.Herbert","LAC",0
"11926","B.Watson","DEN",-1
"11927","G.Edwards","LAC",4
"11928","K.Vidal","LAC",0
"11929","A.Estime","DEN",5
"11930","J.Williams","DEN",2
"11931","G.Edwards","LAC",1
"11932","A.Estime","DEN",7
"11933","G.Edwards","LAC",0
"11934","J.Herbert","LAC",16
"11935","G.Edwards","LAC",43
"11936","G.Edwards","LAC",-3
"11937","J.Gibbs","DET",8
"11938","J.Gibbs","DET",5
"11939","J.Gibbs","DET",5
"11940","J.Gibbs","DET",2
"11941","D.Moore","CHI",2
"11942","C.Williams","CHI",0
"11943","J.Gibbs","DET",8
"11944","J.Gibbs","DET",0
"11945","J.Gibbs","DET",0
"11946","J.Gibbs","DET",1
"11947","D.Swift","CHI",1
"11948","J.Gibbs","DET",12
"11949","J.Gibbs","DET",11
"11950","C.Reynolds","DET",-1
"11951","J.Gibbs","DET",11
"11952","D.Swift","CHI",2
"11953","D.Swift","CHI",7
"11954","D.Swift","CHI",4
"11955","R.Johnson","CHI",3
"11956","D.Swift","CHI",4
"11957","D.Swift","CHI",4
"11958","J.Gibbs","DET",9
"11959","J.Gibbs","DET",4
"11960","J.Gibbs","DET",3
"11961","J.Gibbs","DET",2
"11962","J.Gibbs","DET",-1
"11963","J.Gibbs","DET",-1
"11964","J.Gibbs","DET",5
"11965","J.Gibbs","DET",8
"11966","D.Swift","CHI",-1
"11967","D.Swift","CHI",1
"11968","C.Williams","CHI",13
"11969","D.Swift","CHI",-2
"11970","C.Williams","CHI",4
"11971","J.Gibbs","DET",6
"11972","Ja.Williams","DET",7
"11973","C.Reynolds","DET",11
"11974","C.Reynolds","DET",4
"11975","J.Gibbs","DET",3
"11976","C.Williams","CHI",0
"11977","J.Gibbs","DET",5
"11978","J.Gibbs","DET",3
"11979","C.Reynolds","DET",4
"11980","C.Williams","CHI",6
"11981","C.Williams","CHI",11
"11982","J.Jefferson","DET",5
"11983","J.Jefferson","DET",4
"11984","J.Jefferson","DET",4
"11985","J.Mixon","HOU",2
"11986","I.Pacheco","KC",7
"11987","I.Pacheco","KC",3
"11988","P.Mahomes","KC",12
"11989","X.Worthy","KC",2
"11990","P.Mahomes","KC",15
"11991","J.Mixon","HOU",22
"11992","K.Hunt","KC",5
"11993","D.Pierce","HOU",4
"11994","J.Mixon","HOU",4
"11995","J.Mixon","HOU",-1
"11996","J.Mixon","HOU",1
"11997","J.Mixon","HOU",4
"11998","I.Pacheco","KC",4
"11999","I.Pacheco","KC",-1
"12000","X.Worthy","KC",1
"12001","K.Hunt","KC",3
"12002","J.Mixon","HOU",5
"12003","C.Stroud","HOU",12
"12004","C.Stroud","HOU",11
"12005","I.Pacheco","KC",3
"12006","I.Pacheco","KC",8
"12007","J.Mixon","HOU",3
"12008","I.Pacheco","KC",0
"12009","I.Pacheco","KC",0
"12010","J.Mixon","HOU",2
"12011","K.Hunt","KC",7
"12012","P.Mahomes","KC",8
"12013","X.Worthy","KC",7
"12014","K.Hunt","KC",4
"12015","J.Mixon","HOU",13
"12016","J.Mixon","HOU",2
"12017","J.Mixon","HOU",3
"12018","J.Mixon","HOU",-2
"12019","K.Hunt","KC",2
"12020","K.Hunt","KC",2
"12021","K.Hunt","KC",3
"12022","K.Hunt","KC",1
"12023","K.Hunt","KC",2
"12024","J.Mixon","HOU",-1
"12025","I.Pacheco","KC",2
"12026","K.Hunt","KC",6
"12027","K.Hunt","KC",20
"12028","T.Etienne","JAX",0
"12029","T.Bigsby","JAX",10
"12030","T.Bigsby","JAX",2
"12031","A.Mattison","LV",4
"12032","T.Etienne","JAX",1
"12033","T.Etienne","JAX",12
"12034","T.Tucker","LV",-8
"12035","A.Mattison","LV",4
"12036","T.Bigsby","JAX",1
"12037","T.Bigsby","JAX",3
"12038","T.Bigsby","JAX",0
"12039","T.Bigsby","JAX",1
"12040","A.Mattison","LV",3
"12041","A.O'Connell","LV",13
"12042","A.Mattison","LV",1
"12043","T.Etienne","JAX",1
"12044","T.Etienne","JAX",8
"12045","T.Etienne","JAX",2
"12046","A.O'Connell","LV",3
"12047","A.Abdullah","LV",5
"12048","A.Abdullah","LV",10
"12049","A.O'Connell","LV",3
"12050","A.Mattison","LV",-2
"12051","T.Bigsby","JAX",10
"12052","A.Mattison","LV",4
"12053","T.Etienne","JAX",3
"12054","T.Bigsby","JAX",6
"12055","T.Bigsby","JAX",4
