coach,down,red_zone,distance,pass_prob,run_prob,fg_prob,punt_prob
Aaron Glenn,2,TRUE,Long,0.651206518,0.337511752,0.01128173,0
Aaron Glenn,2,FALSE,Short,0.365905849,0.632489301,0.00160485,0
Aaron Glenn,2,FALSE,Mid,0.506609385,0.492068738,0.001321877,0
Aaron Glenn,2,FALSE,Long,0.687166839,0.310446336,0.002386825,0
Aaron Glenn,3,TRUE,Short,0.469904963,0.52217529,0.007919747,0
Aaron Glenn,3,TRUE,Mid,0.834293948,0.153458213,0.012247839,0
Aaron Glenn,3,TRUE,Long,0.852428394,0.132004981,0.015566625,0
Aaron Glenn,3,FALSE,Short,0.492876629,0.504698393,0.002424977,0
Aaron Glenn,3,FALSE,Mid,0.856947296,0.141170431,0.001882272,0
Aaron Glenn,3,FALSE,Long,0.866811861,0.128245937,0.004942201,0
Aaron Glenn,4,TRUE,Short,0.283962264,0.299056604,0.416981132,0
Aaron Glenn,4,TRUE,Mid,0.130378096,0.011734029,0.857887875,0
Aaron Glenn,4,TRUE,Long,0.067201605,0.002006018,0.930792377,0
Aaron Glenn,4,FALSE,Short,0.198028674,0.241636798,0.098267622,0.462066906
Aaron Glenn,4,FALSE,Mid,0.129493892,0.017801047,0.182897033,0.669808028
Aaron Glenn,4,FALSE,Long,0.069789939,0.006909895,0.16514649,0.758153676
Dan Quinn,1,TRUE,All,0.377398721,0.618336887,0.004264392,0
Dan Quinn,1,FALSE,All,0.539048311,0.459135489,0.001816201,0
Dan Quinn,2,TRUE,Short,0.289473684,0.710526316,0,0
Dan Quinn,2,TRUE,Mid,0.513043478,0.486956522,0,0
Dan Quinn,2,TRUE,Long,0.644970414,0.343195266,0.01183432,0
Dan Quinn,2,FALSE,Short,0.421052632,0.575438596,0.003508772,0
Dan Quinn,2,FALSE,Mid,0.502673797,0.49197861,0.005347594,0
Dan Quinn,2,FALSE,Long,0.69726248,0.299516908,0.003220612,0
Dan Quinn,3,TRUE,Short,0.594339623,0.396226415,0.009433962,0
Dan Quinn,3,TRUE,Mid,0.906666667,0.093333333,0,0
Dan Quinn,3,TRUE,Long,0.892473118,0.086021505,0.021505376,0
Dan Quinn,3,FALSE,Short,0.535460993,0.464539007,0,0
Dan Quinn,3,FALSE,Mid,0.895833333,0.104166667,0,0
Dan Quinn,3,FALSE,Long,0.89483066,0.101604278,0.003565062,0
Dan Quinn,4,TRUE,Short,0.358490566,0.188679245,0.452830189,0
Dan Quinn,4,TRUE,Mid,0.076923077,0,0.923076923,0
Dan Quinn,4,TRUE,Long,0,0,1,0
Dan Quinn,4,FALSE,Short,0.204545455,0.242424242,0.166666667,0.386363636
Dan Quinn,4,FALSE,Mid,0.160305344,0.022900763,0.20610687,0.610687023
Dan Quinn,4,FALSE,Long,0.059006211,0.01552795,0.192546584,0.732919255
Sean Payton,1,TRUE,All,0.44093178,0.550748752,0.008319468,0
Sean Payton,1,FALSE,All,0.539130435,0.45880619,0.002063375,0
Sean Payton,2,TRUE,Short,0.321917808,0.671232877,0.006849315,0
Sean Payton,2,TRUE,Mid,0.573333333,0.42,0.006666667,0
Sean Payton,2,TRUE,Long,0.695863747,0.282238443,0.02189781,0
Sean Payton,2,FALSE,Short,0.341823056,0.658176944,0,0
Sean Payton,2,FALSE,Mid,0.593615186,0.406384814,0,0
Sean Payton,2,FALSE,Long,0.687333333,0.31,0.002666667,0
Sean Payton,3,TRUE,Short,0.517361111,0.475694444,0.006944444,0
Sean Payton,3,TRUE,Mid,0.828571429,0.16,0.011428571,0
Sean Payton,3,TRUE,Long,0.862244898,0.107142857,0.030612245,0
Sean Payton,3,FALSE,Short,0.499383477,0.498150432,0.002466091,0
Sean Payton,3,FALSE,Mid,0.886685552,0.111898017,0.001416431,0
Sean Payton,3,FALSE,Long,0.903587444,0.093423019,0.002989537,0
Sean Payton,4,TRUE,Short,0.146853147,0.27972028,0.573426573,0
Sean Payton,4,TRUE,Mid,0.052631579,0,0.947368421,0
Sean Payton,4,TRUE,Long,0.057142857,0,0.942857143,0
Sean Payton,4,FALSE,Short,0.118387909,0.23929471,0.073047859,0.569269521
Sean Payton,4,FALSE,Mid,0.083076923,0.015384615,0.153846154,0.747692308
Sean Payton,4,FALSE,Long,0.042407661,0.005471956,0.166894665,0.785225718
Mike Macdonald,1,TRUE,All,0.442307692,0.557692308,0,0
Mike Macdonald,1,FALSE,All,0.590123457,0.407407407,0.002469136,0
Mike Macdonald,2,TRUE,Short,0.235294118,0.705882353,0.058823529,0
Mike Macdonald,2,TRUE,Mid,0.555555556,0.444444444,0,0
Mike Macdonald,2,TRUE,Long,0.615384615,0.384615385,0,0
Mike Macdonald,2,FALSE,Short,0.5,0.5,0,0
Mike Macdonald,2,FALSE,Mid,0.507462687,0.47761194,0.014925373,0
Mike Macdonald,2,FALSE,Long,0.719387755,0.280612245,0,0
Mike Macdonald,3,TRUE,Short,0.625,0.375,0,0
Mike Macdonald,3,TRUE,Mid,1,0,0,0
Mike Macdonald,3,TRUE,Long,0.833333333,0.166666667,0,0
Mike Macdonald,3,FALSE,Short,0.564102564,0.41025641,0.025641026,0
Mike Macdonald,3,FALSE,Mid,0.911111111,0.088888889,0,0
Mike Macdonald,3,FALSE,Long,0.846938776,0.153061224,0,0
Mike Macdonald,4,TRUE,Short,0.285714286,0.285714286,0.428571429,0
Mike Macdonald,4,TRUE,Mid,0,0,1,0
Mike Macdonald,4,TRUE,Long,0.166666667,0,0.833333333,0
Mike Macdonald,4,FALSE,Short,0.090909091,0.363636364,0,0.545454545
Mike Macdonald,4,FALSE,Mid,0.111111111,0,0.277777778,0.611111111
Mike Macdonald,4,FALSE,Long,0.029850746,0,0.179104478,0.791044776
Matt LaFleur,1,TRUE,All,0.415555556,0.58,0.004444444,0
Matt LaFleur,1,FALSE,All,0.479935144,0.518848804,0.001216052,0
Matt LaFleur,2,TRUE,Short,0.453125,0.5390625,0.0078125,0
Matt LaFleur,2,TRUE,Mid,0.485436893,0.504854369,0.009708738,0
Matt LaFleur,2,TRUE,Long,0.631868132,0.357142857,0.010989011,0
Matt LaFleur,2,FALSE,Short,0.375426621,0.624573379,0,0
Matt LaFleur,2,FALSE,Mid,0.47761194,0.52238806,0,0
Matt LaFleur,2,FALSE,Long,0.671918443,0.325301205,0.002780352,0
Matt LaFleur,3,TRUE,Short,0.533980583,0.466019417,0,0
Matt LaFleur,3,TRUE,Mid,0.894736842,0.092105263,0.013157895,0
Matt LaFleur,3,TRUE,Long,0.913043478,0.086956522,0,0
Matt LaFleur,3,FALSE,Short,0.545138889,0.451388889,0.003472222,0
Matt LaFleur,3,FALSE,Mid,0.894941634,0.101167315,0.003891051,0
Matt LaFleur,3,FALSE,Long,0.898785425,0.093117409,0.008097166,0
Matt LaFleur,4,TRUE,Short,0.396226415,0.283018868,0.320754717,0
Matt LaFleur,4,TRUE,Mid,0.069767442,0.023255814,0.906976744,0
Matt LaFleur,4,TRUE,Long,0.045454545,0,0.954545455,0
Matt LaFleur,4,FALSE,Short,0.327433628,0.230088496,0.053097345,0.389380531
Matt LaFleur,4,FALSE,Mid,0.111111111,0.009259259,0.166666667,0.712962963
Matt LaFleur,4,FALSE,Long,0.048701299,0.003246753,0.142857143,0.805194805
Sean McVay,1,TRUE,All,0.365695793,0.631067961,0.003236246,0
Sean McVay,1,FALSE,All,0.515055009,0.484365953,0.000579039,0
Sean McVay,2,TRUE,Short,0.264285714,0.735714286,0,0
Sean McVay,2,TRUE,Mid,0.51744186,0.476744186,0.005813953,0
Sean McVay,2,TRUE,Long,0.686363636,0.295454545,0.018181818,0
Sean McVay,2,FALSE,Short,0.433604336,0.566395664,0,0
Sean McVay,2,FALSE,Mid,0.56281407,0.43718593,0,0
Sean McVay,2,FALSE,Long,0.692257645,0.304489265,0.00325309,0
Sean McVay,3,TRUE,Short,0.475177305,0.517730496,0.007092199,0
Sean McVay,3,TRUE,Mid,0.881188119,0.118811881,0,0
Sean McVay,3,TRUE,Long,0.904761905,0.076190476,0.019047619,0
Sean McVay,3,FALSE,Short,0.547263682,0.450248756,0.002487562,0
Sean McVay,3,FALSE,Mid,0.870967742,0.123655914,0.005376344,0
Sean McVay,3,FALSE,Long,0.820193638,0.178423237,0.001383126,0
Sean McVay,4,TRUE,Short,0.166666667,0.192307692,0.641025641,0
Sean McVay,4,TRUE,Mid,0.074074074,0.018518519,0.907407407,0
Sean McVay,4,TRUE,Long,0.071428571,0,0.928571429,0
Sean McVay,4,FALSE,Short,0.147783251,0.216748768,0.128078818,0.507389163
Sean McVay,4,FALSE,Mid,0.117318436,0.016759777,0.162011173,0.703910615
Sean McVay,4,FALSE,Long,0.037825059,0.004728132,0.191489362,0.765957447
Sean McDermott,1,TRUE,All,0.394648829,0.600334448,0.005016722,0
Sean McDermott,1,FALSE,All,0.534418738,0.463867466,0.001713796,0
Sean McDermott,2,TRUE,Short,0.322834646,0.677165354,0,0
Sean McDermott,2,TRUE,Mid,0.429530201,0.570469799,0,0
Sean McDermott,2,TRUE,Long,0.594017094,0.405982906,0,0
Sean McDermott,2,FALSE,Short,0.317073171,0.682926829,0,0
Sean McDermott,2,FALSE,Mid,0.441176471,0.556985294,0.001838235,0
Sean McDermott,2,FALSE,Long,0.655980271,0.34217016,0.001849568,0
Sean McDermott,3,TRUE,Short,0.3828125,0.609375,0.0078125,0
Sean McDermott,3,TRUE,Mid,0.87804878,0.12195122,0,0
Sean McDermott,3,TRUE,Long,0.824,0.176,0,0
Sean McDermott,3,FALSE,Short,0.437357631,0.562642369,0,0
Sean McDermott,3,FALSE,Mid,0.829268293,0.170731707,0,0
Sean McDermott,3,FALSE,Long,0.844827586,0.153846154,0.00132626,0
Sean McDermott,4,TRUE,Short,0.338461538,0.292307692,0.369230769,0
Sean McDermott,4,TRUE,Mid,0.075,0,0.925,0
Sean McDermott,4,TRUE,Long,0.069444444,0,0.930555556,0
Sean McDermott,4,FALSE,Short,0.136125654,0.246073298,0.094240838,0.523560209
Sean McDermott,4,FALSE,Mid,0.095238095,0.020408163,0.142857143,0.741496599
Sean McDermott,4,FALSE,Long,0.039351852,0.002314815,0.206018519,0.752314815
Ben Johnson,1,TRUE,All,0.380406213,0.616487455,0.003106332,0
Ben Johnson,1,FALSE,All,0.499012042,0.499496701,0.001491258,0
Ben Johnson,2,TRUE,Short,0.335436893,0.662621359,0.001941748,0
Ben Johnson,2,TRUE,Mid,0.512845371,0.483276781,0.003877848,0
Ben Johnson,2,TRUE,Long,0.651206518,0.337511752,0.01128173,0
Ben Johnson,2,FALSE,Short,0.365905849,0.632489301,0.00160485,0
Ben Johnson,2,FALSE,Mid,0.506609385,0.492068738,0.001321877,0
Ben Johnson,2,FALSE,Long,0.687166839,0.310446336,0.002386825,0
Ben Johnson,3,TRUE,Short,0.469904963,0.52217529,0.007919747,0
Ben Johnson,3,TRUE,Mid,0.834293948,0.153458213,0.012247839,0
Ben Johnson,3,TRUE,Long,0.852428394,0.132004981,0.015566625,0
Ben Johnson,3,FALSE,Short,0.492876629,0.504698393,0.002424977,0
Ben Johnson,3,FALSE,Mid,0.856947296,0.141170431,0.001882272,0
Ben Johnson,3,FALSE,Long,0.866811861,0.128245937,0.004942201,0
Ben Johnson,4,TRUE,Short,0.283962264,0.299056604,0.416981132,0
Ben Johnson,4,TRUE,Mid,0.130378096,0.011734029,0.857887875,0
Ben Johnson,4,TRUE,Long,0.067201605,0.002006018,0.930792377,0
Ben Johnson,4,FALSE,Short,0.198028674,0.241636798,0.098267622,0.462066906
Ben Johnson,4,FALSE,Mid,0.129493892,0.017801047,0.182897033,0.669808028
Ben Johnson,4,FALSE,Long,0.069789939,0.006909895,0.16514649,0.758153676
John Harbaugh,1,TRUE,All,0.335060449,0.659758204,0.005181347,0
John Harbaugh,1,FALSE,All,0.46411093,0.534801523,0.001087548,0
John Harbaugh,2,TRUE,Short,0.223076923,0.776923077,0,0
John Harbaugh,2,TRUE,Mid,0.477941176,0.518382353,0.003676471,0
John Harbaugh,2,TRUE,Long,0.640692641,0.344155844,0.015151515,0
John Harbaugh,2,FALSE,Short,0.258941345,0.741058655,0,0
John Harbaugh,2,FALSE,Mid,0.454470878,0.544708778,0.000820345,0
John Harbaugh,2,FALSE,Long,0.642037503,0.355163728,0.002798769,0
John Harbaugh,3,TRUE,Short,0.383333333,0.6125,0.004166667,0
John Harbaugh,3,TRUE,Mid,0.81122449,0.178571429,0.010204082,0
John Harbaugh,3,TRUE,Long,0.868778281,0.104072398,0.027149321,0
John Harbaugh,3,FALSE,Short,0.393764434,0.601616628,0.004618938,0
John Harbaugh,3,FALSE,Mid,0.85012285,0.148648649,0.001228501,0
John Harbaugh,3,FALSE,Long,0.870029674,0.122848665,0.007121662,0
John Harbaugh,4,TRUE,Short,0.155555556,0.251851852,0.592592593,0
John Harbaugh,4,TRUE,Mid,0.033898305,0,0.966101695,0
John Harbaugh,4,TRUE,Long,0.034482759,0.017241379,0.948275862,0
John Harbaugh,4,FALSE,Short,0.118834081,0.235426009,0.114349776,0.531390135
John Harbaugh,4,FALSE,Mid,0.074358974,0.01025641,0.176923077,0.738461538
John Harbaugh,4,FALSE,Long,0.055555556,0.007070707,0.15959596,0.777777778
Zac Taylor,1,TRUE,All,0.481662592,0.515892421,0.002444988,0
Zac Taylor,1,FALSE,All,0.532359905,0.466850829,0.000789266,0
Zac Taylor,2,TRUE,Short,0.393162393,0.606837607,0,0
Zac Taylor,2,TRUE,Mid,0.56,0.43,0.01,0
Zac Taylor,2,TRUE,Long,0.793333333,0.206666667,0,0
Zac Taylor,2,FALSE,Short,0.356862745,0.643137255,0,0
