"","receiver_player_name","receiver_player_id","passer_player_name","passer_player_id","complete_pass","air_yards","yards_after_catch"
"1724",NA,NA,"J.Daniels","00-0039910",0,NA,NA
"1725","D.Brown","00-0036626","J.Daniels","00-0039910",0,9,NA
"1726","M.Nabers","00-0039337","D.Jones","00-0035710",0,-1,NA
"1727","W.Robinson","00-0038117","D.Jones","00-0035710",0,9,NA
"1728","D.Slayton","00-0035535","D.Jones","00-0035710",0,18,NA
"1729","T.McLaurin","00-0035659","J.Daniels","00-0039910",1,-4,1
"1730","T.McLaurin","00-0035659","J.Daniels","00-0039910",1,12,0
"1731","D.Brown","00-0036626","J.Daniels","00-0039910",0,11,NA
"1732","M.Nabers","00-0039337","D.Jones","00-0035710",1,13,0
"1733","M.Nabers","00-0039337","D.Jones","00-0035710",0,47,NA
"1734","M.Nabers","00-0039337","D.Jones","00-0035710",1,4,4
"1735","M.Nabers","00-0039337","D.Jones","00-0035710",1,3,1
"1736","M.Nabers","00-0039337","D.Jones","00-0035710",0,6,NA
"1737","W.Robinson","00-0038117","D.Jones","00-0035710",1,5,2
"1738","D.Slayton","00-0035535","D.Jones","00-0035710",0,NA,NA
"1739","O.Zaccheaus","00-0035208","J.Daniels","00-0039910",1,-4,4
"1740","J.Bates","00-0036628","J.Daniels","00-0039910",1,5,0
"1741","N.Brown","00-0033591","J.Daniels","00-0039910",1,15,0
"1742","T.McLaurin","00-0035659","J.Daniels","00-0039910",1,-3,5
"1743","A.Ekeler","00-0033699","J.Daniels","00-0039910",1,-2,29
"1744","B.Robinson","00-0037746","J.Daniels","00-0039910",0,-8,NA
"1745","B.Robinson","00-0037746","J.Daniels","00-0039910",0,6,NA
"1746","D.Slayton","00-0035535","D.Jones","00-0035710",1,3,0
"1747","M.Nabers","00-0039337","D.Jones","00-0035710",0,24,NA
"1748","M.Nabers","00-0039337","D.Jones","00-0035710",1,5,20
"1749","M.Nabers","00-0039337","D.Jones","00-0035710",1,3,1
"1750","M.Nabers","00-0039337","D.Jones","00-0035710",0,11,NA
"1751","N.Brown","00-0033591","J.Daniels","00-0039910",1,19,15
"1752","O.Zaccheaus","00-0035208","J.Daniels","00-0039910",1,-1,9
"1753",NA,NA,"W.Levis","00-0039152",0,NA,NA
"1754","B.Hall","00-0038120","A.Rodgers","00-0023459",1,-6,9
"1755",NA,NA,"A.Rodgers","00-0023459",0,15,NA
"1756","M.Corley","00-0039920","A.Rodgers","00-0023459",1,-1,5
"1757","J.Whyle","00-0038589","W.Levis","00-0039152",1,1,0
"1758","C.Ridley","00-0034837","W.Levis","00-0039152",1,3,12
"1759","T.Boyd","00-0033009","W.Levis","00-0039152",1,3,6
"1760","J.Whyle","00-0038589","W.Levis","00-0039152",1,4,8
"1761","C.Okonkwo","00-0037809","W.Levis","00-0039152",1,-3,10
"1762","T.Spears","00-0039032","W.Levis","00-0039152",1,0,6
"1763","T.Boyd","00-0033009","W.Levis","00-0039152",1,14,3
"1764","T.Pollard","00-0035261","W.Levis","00-0039152",1,-4,15
"1765","T.Pollard","00-0035261","W.Levis","00-0039152",0,-1,NA
"1766",NA,NA,"W.Levis","00-0039152",0,NA,NA
"1767","B.Hall","00-0038120","A.Rodgers","00-0023459",0,6,NA
"1768",NA,NA,"A.Rodgers","00-0023459",0,NA,NA
"1769","B.Hall","00-0038120","A.Rodgers","00-0023459",1,0,9
"1770","T.Burks","00-0037742","W.Levis","00-0039152",0,48,NA
"1771","B.Allen","00-0039794","A.Rodgers","00-0023459",0,0,NA
"1772","A.Lazard","00-0034521","A.Rodgers","00-0023459",1,6,2
"1773","G.Wilson","00-0037740","A.Rodgers","00-0023459",0,8,NA
"1774","B.Allen","00-0039794","A.Rodgers","00-0023459",1,3,8
"1775","J.Ruckert","00-0037805","A.Rodgers","00-0023459",0,-3,NA
"1776","G.Wilson","00-0037740","A.Rodgers","00-0023459",1,7,9
"1777","B.Hall","00-0038120","A.Rodgers","00-0023459",1,-5,7
"1778","G.Wilson","00-0037740","A.Rodgers","00-0023459",1,6,0
"1779","T.Conklin","00-0034270","A.Rodgers","00-0023459",1,5,5
"1780","B.Allen","00-0039794","A.Rodgers","00-0023459",1,-3,15
"1781","T.Spears","00-0039032","W.Levis","00-0039152",1,-3,8
"1782","T.Pollard","00-0035261","W.Levis","00-0039152",1,22,0
"1783","D.Hopkins","00-0030564","W.Levis","00-0039152",1,9,0
"1784",NA,NA,"W.Levis","00-0039152",0,NA,NA
"1785","B.Allen","00-0039794","A.Rodgers","00-0023459",0,0,NA
"1786","B.Hall","00-0038120","A.Rodgers","00-0023459",1,26,0
"1787","T.Pollard","00-0035261","W.Levis","00-0039152",1,1,1
"1788","C.Okonkwo","00-0037809","W.Levis","00-0039152",1,4,4
"1789","J.Ruckert","00-0037805","A.Rodgers","00-0023459",0,0,NA
"1790","T.Conklin","00-0034270","A.Rodgers","00-0023459",0,-4,NA
"1791",NA,NA,"A.Rodgers","00-0023459",0,NA,NA
"1792",NA,NA,"W.Levis","00-0039152",0,-10,NA
"1793","T.Boyd","00-0033009","W.Levis","00-0039152",0,12,NA
"1794","C.Ridley","00-0034837","W.Levis","00-0039152",0,44,NA
"1795","A.Lazard","00-0034521","A.Rodgers","00-0023459",0,-2,NA
"1796","J.Ruckert","00-0037805","A.Rodgers","00-0023459",0,15,NA
