"","punter_player_name","punter_player_id","kick_distance"
"904","A.Cole","00-0035190",68
"905","A.Cole","00-0035190",60
"906","M.Araiza","00-0037284",51
"907","R.Wright","00-0037500",61
"908","E.Evans","00-0039059",42
"909","R.Wright","00-0037500",53
"910","E.Evans","00-0039059",45
"911","R.Wright","00-0037500",37
"912","E.Evans","00-0039059",41
"913","J.Scott","00-0034162",59
"914","M.Hayball","00-0039611",47
"915","M.Hayball","00-0039611",49
"916","J.Scott","00-0034162",47
"917","M.Hayball","00-0039611",46
"918","M.Hayball","00-0039611",58
"919","J.Scott","00-0034162",63
"920","M.Hayball","00-0039611",44
"921","M.Hayball","00-0039611",43
"922","J.Scott","00-0034162",54
"923","M.Hayball","00-0039611",59
"924","M.Hayball","00-0039611",45
"925","J.Scott","00-0034162",54
"926","M.Hayball","00-0039611",46
"927","J.Scott","00-0034162",67
"928","M.Haack","00-0033400",45
"929","C.Waitman","00-0035821",40
"930","M.Haack","00-0033400",27
"931","C.Waitman","00-0035821",55
"932","M.Haack","00-0033400",54
"933","M.Haack","00-0033400",66
"934","C.Waitman","00-0035821",36
"935","B.Baringer","00-0038610",52
"936","T.Morstead","00-0027114",34
"937","B.Baringer","00-0038610",30
"938","B.Baringer","00-0038610",50
"939","T.Morstead","00-0027114",40
"940","T.Morstead","00-0027114",52
"941","B.Baringer","00-0038610",49
"942","T.Morstead","00-0027114",51
"943","B.Baringer","00-0038610",55
"944","B.Mann","00-0036313",52
"945","J.Fox","00-0035156",57
"946","R.Stonehouse","00-0037607",45
"947","J.Fox","00-0035156",67
"948","R.Stonehouse","00-0037607",37
"949","R.Stonehouse","00-0037607",56
"950","R.Stonehouse","00-0037607",49
"951","J.Fox","00-0035156",63
"952","R.Stonehouse","00-0037607",62
"953","J.Fox","00-0035156",62
"954","R.Stonehouse","00-0037607",47
"955","J.Fox","00-0035156",56
"956","B.Gillikin","00-0035859",51
"957","T.Taylor","00-0039745",39
"958","B.Gillikin","00-0035859",55
"959","T.Taylor","00-0039745",50
"960","T.Taylor","00-0039745",62
"961","T.Taylor","00-0039745",67
"962","B.Gillikin","00-0035859",45
"963","B.Gillikin","00-0035859",36
"964","B.Pinion","00-0032065",43
"965","B.Anger","00-0029692",41
"966","B.Pinion","00-0032065",62
"967","B.Anger","00-0029692",53
"968","B.Pinion","00-0032065",32
"969","B.Anger","00-0029692",45
"970","B.Pinion","00-0032065",55
"971","B.Pinion","00-0032065",53
"972","J.Stout","00-0038094",40
"973","R.Dixon","00-0032943",50
"974","R.Dixon","00-0032943",46
"975","J.Stout","00-0038094",58
"976","D.Whelan","00-0037547",33
"977","J.Fox","00-0035156",54
"978","D.Whelan","00-0037547",51
"979","J.Fox","00-0035156",60
"980","J.Fox","00-0035156",44
"981","J.Fox","00-0035156",41
"982","T.Townsend","00-0035889",46
"983","T.Morstead","00-0027114",51
"984","T.Morstead","00-0027114",56
"985","T.Townsend","00-0035889",52
"986","T.Townsend","00-0035889",56
"987","T.Morstead","00-0027114",75
"988","T.Morstead","00-0027114",38
"989","T.Morstead","00-0027114",54
"990","R.Sanchez","00-0033269",54
"991","R.Wright","00-0037500",44
"992","R.Sanchez","00-0033269",50
"993","R.Sanchez","00-0033269",44
"994","R.Wright","00-0037500",39
"995","B.Mann","00-0036313",42
"996","L.Cooke","00-0034437",46
"997","B.Mann","00-0036313",54
"998","L.Cooke","00-0034437",47
"999","L.Cooke","00-0034437",49
"1000","B.Mann","00-0036313",50
"1001","L.Cooke","00-0034437",56
"1002","L.Cooke","00-0034437",40
"1003","J.Scott","00-0034162",43
"1004","C.Bojorquez","00-0034721",62
"1005","C.Bojorquez","00-0034721",60
"1006","J.Scott","00-0034162",48
"1007","C.Bojorquez","00-0034721",40
"1008","J.Scott","00-0034162",53
"1009","C.Bojorquez","00-0034721",53
"1010","C.Bojorquez","00-0034721",60
"1011","J.Scott","00-0034162",34
"1012","C.Bojorquez","00-0034721",43
"1013","J.Scott","00-0034162",51
"1014","J.Scott","00-0034162",46
"1015","J.Scott","00-0034162",55
"1016","M.Dickson","00-0034160",29
"1017","T.Zentner","00-0038490",53
"1018","T.Zentner","00-0038490",25
"1019","M.Dickson","00-0034160",50
"1020","T.Zentner","00-0038490",36
"1021","M.Dickson","00-0034160",51
"1022","T.Zentner","00-0038490",37
"1023","M.Dickson","00-0034160",62
"1024","M.Dickson","00-0034160",44
"1025","M.Dickson","00-0034160",45
"1026","T.Zentner","00-0038490",0
"1027","T.Zentner","00-0038490",50
"1028","M.Dickson","00-0034160",49
"1029","T.Zentner","00-0038490",44
"1030","T.Zentner","00-0038490",36
"1031","A.Cole","00-0035190",42
"1032","A.Cole","00-0035190",48
"1033","A.Cole","00-0035190",58
"1034","R.Rehkow","00-0039323",52
"1035","A.Cole","00-0035190",62
"1036","R.Rehkow","00-0039323",65
"1037","A.Cole","00-0035190",70
"1038","R.Rehkow","00-0039323",58
"1039","S.Martin","00-0030092",49
"1040","J.Bailey","00-0035280",37
"1041","R.Stonehouse","00-0037607",42
"1042","B.Baringer","00-0038610",49
"1043","R.Stonehouse","00-0037607",53
"1044","R.Stonehouse","00-0037607",36
"1045","B.Baringer","00-0038610",15
"1046","B.Baringer","00-0038610",45
"1047","R.Stonehouse","00-0037607",44
"1048","B.Baringer","00-0038610",60
"1049","R.Stonehouse","00-0037607",58
"1050","J.Hekker","00-0028872",44
"1051","J.Hekker","00-0028872",37
"1052","M.Hayball","00-0039611",30
"1053","J.Hekker","00-0028872",35
"1054","M.Hayball","00-0039611",46
"1055","J.Hekker","00-0028872",48
"1056","M.Hayball","00-0039611",43
"1057","J.Hekker","00-0028872",52
"1058","M.Hayball","00-0039611",50
"1059","M.Araiza","00-0037284",35
"1060","T.Gill","00-0037097",56
"1061","T.Gill","00-0037097",57
"1062","T.Gill","00-0037097",32
"1063","M.Araiza","00-0037284",49
"1064","T.Gill","00-0037097",40
"1065","T.Gill","00-0037097",31
"1066","M.Araiza","00-0037284",47
"1067","M.Araiza","00-0037284",40
"1068","M.Haack","00-0033400",32
"1069","T.Way","00-0030140",56
"1070","M.Haack","00-0033400",60
"1071","T.Way","00-0030140",53
"1072","B.Pinion","00-0032065",45
"1073","B.Pinion","00-0032065",42
"1074","M.Hayball","00-0039611",42
"1075","M.Hayball","00-0039611",46
"1076","B.Pinion","00-0032065",57
"1077","M.Hayball","00-0039611",43
"1078","M.Hayball","00-0039611",51
"1079","M.Hayball","00-0039611",42
"1080","S.Martin","00-0030092",48
"1081","R.Sanchez","00-0033269",55
"1082","R.Sanchez","00-0033269",53
"1083","S.Martin","00-0030092",61
"1084","J.Stout","00-0038094",54
"1085","R.Rehkow","00-0039323",46
"1086","J.Stout","00-0038094",46
"1087","R.Rehkow","00-0039323",46
"1088","J.Stout","00-0038094",48
"1089","J.Stout","00-0038094",35
"1090","J.Stout","00-0038094",48
"1091","R.Rehkow","00-0039323",32
"1092","R.Dixon","00-0032943",57
"1093","M.Araiza","00-0037284",55
"1094","R.Dixon","00-0032943",56
"1095","M.Araiza","00-0037284",53
"1096","M.Araiza","00-0037284",64
"1097","R.Dixon","00-0032943",30
"1098","R.Dixon","00-0032943",54
"1099","M.Araiza","00-0037284",41
"1100","R.Dixon","00-0032943",39
"1101","J.Fox","00-0035156",40
"1102","J.Fox","00-0035156",46
"1103","T.Townsend","00-0035889",62
"1104","J.Fox","00-0035156",60
"1105","T.Townsend","00-0035889",56
"1106","T.Townsend","00-0035889",54
"1107","J.Fox","00-0035156",42
"1108","T.Townsend","00-0035889",54
"1109","T.Townsend","00-0035889",49
"1110","E.Evans","00-0039059",47
"1111","J.Bailey","00-0035280",48
"1112","E.Evans","00-0039059",51
"1113","J.Bailey","00-0035280",35
"1114","E.Evans","00-0039059",50
"1115","J.Bailey","00-0035280",51
"1116","L.Cooke","00-0034437",68
"1117","L.Cooke","00-0034437",52
"1118","L.Cooke","00-0034437",39
"1119","R.Wright","00-0037500",43
"1120","L.Cooke","00-0034437",55
"1121","L.Cooke","00-0034437",60
"1122","R.Wright","00-0037500",29
"1123","B.Baringer","00-0038610",49
"1124","T.Taylor","00-0039745",13
"1125","T.Taylor","00-0039745",39
"1126","T.Taylor","00-0039745",35
"1127","B.Baringer","00-0038610",50
"1128","T.Taylor","00-0039745",48
"1129","T.Taylor","00-0039745",36
"1130","B.Baringer","00-0038610",61
"1131","T.Taylor","00-0039745",52
"1132","B.Baringer","00-0038610",75
"1133","T.Taylor","00-0039745",50
"1134","B.Baringer","00-0038610",50
"1135","T.Taylor","00-0039745",62
"1136","J.Hekker","00-0028872",49
"1137","J.Gillan","00-0035042",33
"1138","J.Gillan","00-0035042",42
"1139","J.Hekker","00-0028872",43
"1140","J.Gillan","00-0035042",46
"1141","J.Hekker","00-0028872",55
"1142","J.Hekker","00-0028872",43
"1143","J.Gillan","00-0035042",42
"1144","J.Hekker","00-0028872",46
"1145","J.Hekker","00-0028872",54
"1146","J.Gillan","00-0035042",41
"1147","J.Hekker","00-0028872",47
"1148","T.Morstead","00-0027114",47
"1149","T.Morstead","00-0027114",46
"1150","B.Gillikin","00-0035859",40
"1151","B.Anger","00-0029692",37
"1152","B.Mann","00-0036313",55
"1153","B.Anger","00-0029692",59
"1154","B.Mann","00-0036313",55
"1155","B.Anger","00-0029692",57
"1156","B.Mann","00-0036313",51
"1157","B.Anger","00-0029692",54
"1158","B.Anger","00-0029692",53
"1159","B.Mann","00-0036313",47
"1160","B.Anger","00-0029692",44
"1161","C.Waitman","00-0035821",51
"1162","T.Way","00-0030140",47
"1163","T.Way","00-0030140",53
"1164","C.Waitman","00-0035821",39
"1165","T.Way","00-0030140",74
"1166","C.Waitman","00-0035821",41
"1167","C.Waitman","00-0035821",47
"1168","T.Way","00-0030140",47
"1169","C.Waitman","00-0035821",34
"1170","T.Way","00-0030140",49
"1171","T.Way","00-0030140",60
"1172","M.Wishnowsky","00-0034941",35
"1173","T.Gill","00-0037097",46
"1174","T.Gill","00-0037097",41
"1175","T.Gill","00-0037097",48
"1176","T.Gill","00-0037097",44
"1177","T.Gill","00-0037097",50
"1178","T.Gill","00-0037097",44
"1179","J.Scott","00-0034162",47
"1180","R.Stonehouse","00-0037607",56
"1181","R.Stonehouse","00-0037607",52
"1182","J.Scott","00-0034162",29
"1183","R.Stonehouse","00-0037607",58
"1184","R.Stonehouse","00-0037607",48
"1185","J.Scott","00-0034162",40
"1186","R.Dixon","00-0032943",51
"1187","B.Pinion","00-0032065",59
"1188","B.Pinion","00-0032065",49
"1189","R.Dixon","00-0032943",37
"1190","B.Pinion","00-0032065",46
"1191","B.Pinion","00-0032065",51
"1192","B.Pinion","00-0032065",45
"1193","R.Dixon","00-0032943",47
"1194","J.Stout","00-0038094",70
"1195","C.Waitman","00-0035821",51
"1196","C.Waitman","00-0035821",52
"1197","J.Stout","00-0038094",37
"1198","J.Stout","00-0038094",49
"1199","C.Waitman","00-0035821",71
"1200","C.Waitman","00-0035821",52
"1201","J.Stout","00-0038094",61
"1202","R.Rehkow","00-0039323",38
"1203","J.Scott","00-0034162",53
"1204","R.Rehkow","00-0039323",33
"1205","R.Rehkow","00-0039323",52
"1206","J.Scott","00-0034162",58
"1207","R.Rehkow","00-0039323",63
"1208","J.Scott","00-0034162",32
"1209","J.Scott","00-0034162",39
"1210","J.Scott","00-0034162",55
"1211","J.Scott","00-0034162",43
"1212","R.Rehkow","00-0039323",64
"1213","C.Bojorquez","00-0034721",40
"1214","M.Hayball","00-0039611",33
"1215","C.Bojorquez","00-0034721",43
"1216","M.Hayball","00-0039611",34
"1217","M.Hayball","00-0039611",43
"1218","C.Bojorquez","00-0034721",52
"1219","C.Bojorquez","00-0034721",49
"1220","C.Bojorquez","00-0034721",44
"1221","D.Whelan","00-0037547",47
"1222","T.Taylor","00-0039745",35
"1223","T.Taylor","00-0039745",48
"1224","T.Townsend","00-0035889",51
"1225","T.Townsend","00-0035889",52
"1226","B.Anger","00-0029692",40
"1227","T.Townsend","00-0035889",59
"1228","B.Anger","00-0029692",42
"1229","T.Townsend","00-0035889",48
"1230","T.Morstead","00-0027114",63
"1231","T.Morstead","00-0027114",54
"1232","R.Sanchez","00-0033269",53
"1233","T.Morstead","00-0027114",59
"1234","T.Morstead","00-0027114",52
"1235","R.Sanchez","00-0033269",46
"1236","T.Morstead","00-0027114",49
"1237","R.Sanchez","00-0033269",43
"1238","R.Sanchez","00-0033269",58
"1239","L.Cooke","00-0034437",55
"1240","L.Cooke","00-0034437",56
"1241","L.Cooke","00-0034437",43
"1242","L.Cooke","00-0034437",52
"1243","L.Cooke","00-0034437",61
"1244","M.Araiza","00-0037284",46
"1245","S.Martin","00-0030092",35
"1246","M.Araiza","00-0037284",45
"1247","S.Martin","00-0030092",47
"1248","M.Araiza","00-0037284",58
"1249","S.Martin","00-0030092",44
"1250","M.Araiza","00-0037284",44
"1251","B.Baringer","00-0038610",32
"1252","E.Evans","00-0039059",20
"1253","E.Evans","00-0039059",38
"1254","B.Baringer","00-0038610",42
"1255","E.Evans","00-0039059",50
"1256","E.Evans","00-0039059",30
"1257","A.Cole","00-0035190",54
"1258","R.Stonehouse","00-0037607",32
"1259","R.Stonehouse","00-0037607",50
"1260","R.Stonehouse","00-0037607",51
